Land-Ocean: Global Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1880,-.20,-.25,-.09,-.16,-.09,-.22,-.20,-.10,-.15,-.23,-.23,-.18,-.18,***,***,-.11,-.17,-.20
1881,-.19,-.15,.02,.04,.07,-.18,.01,-.04,-.15,-.22,-.18,-.07,-.09,-.10,-.17,.04,-.07,-.18
1882,.16,.14,.05,-.16,-.14,-.22,-.16,-.08,-.15,-.23,-.17,-.36,-.11,-.09,.08,-.08,-.15,-.18
1883,-.29,-.37,-.12,-.18,-.18,-.07,-.07,-.14,-.22,-.11,-.24,-.11,-.17,-.20,-.34,-.16,-.09,-.19
1884,-.13,-.08,-.36,-.40,-.33,-.35,-.31,-.28,-.27,-.25,-.33,-.31,-.28,-.27,-.11,-.37,-.31,-.28
1885,-.58,-.34,-.26,-.42,-.45,-.43,-.34,-.31,-.29,-.23,-.24,-.10,-.33,-.35,-.41,-.38,-.36,-.25
1886,-.43,-.50,-.43,-.28,-.24,-.34,-.18,-.31,-.24,-.27,-.27,-.25,-.31,-.30,-.35,-.32,-.28,-.26
1887,-.71,-.57,-.35,-.34,-.30,-.24,-.26,-.35,-.26,-.35,-.26,-.33,-.36,-.35,-.51,-.33,-.28,-.29
1888,-.34,-.36,-.41,-.20,-.21,-.17,-.10,-.15,-.12,.02,.03,-.04,-.17,-.19,-.34,-.27,-.14,-.02
1889,-.09,.17,.06,.10,-.01,-.10,-.07,-.20,-.24,-.25,-.33,-.29,-.10,-.08,.01,.05,-.12,-.27
1890,-.41,-.44,-.40,-.29,-.39,-.24,-.27,-.39,-.36,-.25,-.43,-.31,-.35,-.35,-.38,-.36,-.30,-.35
1891,-.33,-.47,-.18,-.27,-.16,-.20,-.17,-.17,-.15,-.21,-.31,-.04,-.22,-.25,-.37,-.20,-.18,-.23
1892,-.29,-.11,-.40,-.33,-.23,-.22,-.31,-.27,-.17,-.14,-.42,-.38,-.27,-.24,-.15,-.32,-.27,-.24
1893,-.81,-.56,-.22,-.27,-.33,-.25,-.14,-.25,-.22,-.18,-.18,-.31,-.31,-.32,-.58,-.27,-.21,-.19
1894,-.52,-.28,-.22,-.44,-.30,-.40,-.23,-.23,-.27,-.22,-.25,-.20,-.30,-.31,-.37,-.32,-.29,-.25
1895,-.40,-.42,-.32,-.22,-.27,-.21,-.16,-.17,-.12,-.10,-.16,-.13,-.22,-.23,-.34,-.27,-.18,-.13
1896,-.21,-.12,-.26,-.30,-.15,-.11,-.02,-.05,-.07,.07,-.04,-.04,-.11,-.11,-.16,-.23,-.06,-.01
1897,-.14,-.16,-.13,-.02,-.01,-.11,-.02,-.09,-.08,-.12,-.17,-.20,-.10,-.09,-.11,-.05,-.07,-.13
1898,-.01,-.29,-.51,-.30,-.30,-.19,-.22,-.26,-.21,-.34,-.38,-.23,-.27,-.27,-.17,-.37,-.22,-.31
1899,-.16,-.38,-.36,-.20,-.22,-.31,-.15,-.08,-.05,-.03,.13,-.26,-.17,-.17,-.25,-.26,-.18,.02
1900,-.35,-.05,.01,-.08,-.08,-.09,-.12,-.08,-.05,.10,-.06,-.06,-.08,-.09,-.22,-.05,-.10,.00
1901,-.21,-.10,.06,-.02,-.14,-.11,-.14,-.20,-.22,-.28,-.17,-.27,-.15,-.13,-.13,-.03,-.15,-.22
1902,-.17,-.05,-.27,-.27,-.31,-.29,-.27,-.29,-.28,-.28,-.35,-.41,-.27,-.26,-.16,-.28,-.28,-.30
1903,-.23,-.05,-.21,-.40,-.39,-.41,-.34,-.44,-.49,-.47,-.42,-.50,-.36,-.36,-.23,-.33,-.40,-.46
1904,-.62,-.57,-.47,-.50,-.51,-.48,-.50,-.48,-.55,-.38,-.17,-.32,-.46,-.48,-.56,-.49,-.49,-.37
1905,-.34,-.58,-.21,-.33,-.28,-.28,-.26,-.20,-.18,-.24,-.06,-.12,-.26,-.27,-.41,-.27,-.25,-.16
1906,-.28,-.29,-.18,-.04,-.25,-.19,-.22,-.19,-.28,-.19,-.37,-.14,-.22,-.22,-.23,-.16,-.20,-.28
1907,-.42,-.51,-.27,-.36,-.46,-.41,-.34,-.34,-.34,-.22,-.46,-.46,-.38,-.35,-.36,-.36,-.36,-.34
1908,-.44,-.32,-.54,-.44,-.37,-.38,-.35,-.45,-.35,-.43,-.51,-.48,-.42,-.42,-.40,-.45,-.39,-.43
1909,-.72,-.46,-.54,-.59,-.54,-.51,-.44,-.33,-.38,-.39,-.31,-.56,-.48,-.47,-.55,-.55,-.43,-.36
1910,-.41,-.41,-.50,-.42,-.33,-.38,-.33,-.36,-.38,-.40,-.55,-.66,-.43,-.42,-.46,-.42,-.36,-.44
1911,-.61,-.57,-.60,-.53,-.51,-.50,-.41,-.43,-.40,-.26,-.21,-.21,-.44,-.47,-.61,-.55,-.45,-.29
1912,-.24,-.14,-.37,-.17,-.21,-.23,-.42,-.54,-.58,-.57,-.38,-.43,-.36,-.34,-.20,-.25,-.40,-.51
1913,-.40,-.45,-.42,-.39,-.43,-.45,-.36,-.33,-.34,-.32,-.19,-.02,-.34,-.38,-.42,-.41,-.38,-.29
1914,.05,-.09,-.24,-.29,-.21,-.25,-.23,-.16,-.16,-.03,-.15,-.03,-.15,-.15,-.02,-.24,-.21,-.11
1915,-.20,-.03,-.10,.07,-.06,-.22,-.12,-.22,-.20,-.24,-.13,-.22,-.14,-.12,-.09,-.03,-.19,-.19
1916,-.12,-.14,-.28,-.30,-.34,-.49,-.37,-.28,-.36,-.33,-.46,-.81,-.36,-.31,-.16,-.31,-.38,-.38
1917,-.57,-.63,-.63,-.55,-.55,-.43,-.25,-.22,-.23,-.44,-.33,-.67,-.46,-.47,-.67,-.58,-.30,-.33
1918,-.47,-.34,-.24,-.44,-.42,-.36,-.31,-.31,-.17,-.06,-.11,-.29,-.29,-.33,-.49,-.37,-.33,-.11
1919,-.20,-.24,-.21,-.12,-.28,-.36,-.29,-.33,-.25,-.20,-.41,-.42,-.28,-.27,-.24,-.20,-.33,-.29
1920,-.24,-.26,-.12,-.24,-.26,-.36,-.30,-.26,-.22,-.26,-.26,-.46,-.27,-.27,-.31,-.21,-.30,-.25
1921,-.04,-.17,-.23,-.30,-.30,-.27,-.14,-.26,-.19,-.03,-.13,-.17,-.18,-.21,-.22,-.27,-.22,-.12
1922,-.33,-.44,-.15,-.23,-.33,-.30,-.27,-.32,-.35,-.32,-.14,-.18,-.28,-.28,-.31,-.24,-.30,-.27
1923,-.27,-.39,-.34,-.41,-.33,-.29,-.30,-.33,-.31,-.13,-.02,-.04,-.26,-.28,-.28,-.36,-.31,-.16
1924,-.23,-.24,-.08,-.31,-.18,-.26,-.29,-.36,-.32,-.35,-.21,-.43,-.27,-.24,-.17,-.19,-.30,-.29
1925,-.38,-.40,-.28,-.26,-.29,-.32,-.26,-.20,-.19,-.17,.05,.06,-.22,-.26,-.40,-.27,-.26,-.11
1926,.20,.03,.11,-.12,-.23,-.26,-.27,-.13,-.14,-.11,-.07,-.29,-.11,-.08,.10,-.08,-.22,-.10
1927,-.27,-.18,-.38,-.30,-.25,-.28,-.18,-.24,-.13,-.01,-.05,-.33,-.22,-.21,-.25,-.31,-.23,-.06
1928,-.02,-.09,-.25,-.27,-.30,-.38,-.19,-.22,-.21,-.18,-.09,-.16,-.20,-.21,-.14,-.27,-.26,-.16
1929,-.45,-.58,-.32,-.41,-.38,-.43,-.37,-.32,-.25,-.14,-.11,-.54,-.36,-.33,-.40,-.37,-.37,-.17
1930,-.29,-.26,-.10,-.24,-.23,-.22,-.21,-.15,-.15,-.12,.18,-.05,-.15,-.20,-.37,-.19,-.19,-.03
1931,-.10,-.21,-.10,-.23,-.19,-.08,-.03,-.04,-.07,.05,-.06,-.05,-.09,-.09,-.12,-.17,-.05,-.02
1932,.16,-.17,-.18,-.06,-.17,-.29,-.24,-.22,-.10,-.08,-.27,-.25,-.16,-.14,-.02,-.13,-.25,-.15
1933,-.23,-.29,-.29,-.24,-.29,-.34,-.21,-.23,-.29,-.25,-.31,-.45,-.28,-.27,-.26,-.27,-.26,-.28
1934,-.21,-.02,-.29,-.31,-.09,-.15,-.10,-.12,-.15,-.06,.03,-.02,-.12,-.16,-.22,-.23,-.13,-.06
1935,-.33,.14,-.14,-.37,-.29,-.27,-.22,-.22,-.21,-.06,-.26,-.17,-.20,-.19,-.07,-.26,-.23,-.18
1936,-.27,-.38,-.21,-.20,-.16,-.22,-.09,-.13,-.09,-.03,.02,-.01,-.15,-.16,-.27,-.19,-.15,-.03
1937,-.07,.03,-.20,-.16,-.05,-.05,-.03,.01,.09,.09,.09,-.07,-.03,-.02,-.01,-.14,-.02,.09
1938,.08,.03,.10,.06,-.09,-.17,-.09,-.05,.01,.15,.08,-.12,.00,.00,.02,.02,-.10,.08
1939,-.05,-.06,-.17,-.09,-.04,-.07,-.06,-.06,-.07,-.03,.07,.44,-.02,-.06,-.08,-.10,-.06,-.01
1940,.00,.08,.09,.17,.11,.12,.13,.07,.15,.11,.17,.32,.13,.14,.17,.13,.10,.14
1941,.18,.31,.10,.16,.17,.13,.22,.15,.02,.35,.23,.22,.19,.19,.27,.14,.16,.20
1942,.30,.03,.05,.10,.11,.05,.01,-.04,-.03,.02,.10,.13,.07,.08,.18,.09,.01,.03
1943,-.01,.18,-.03,.11,.07,-.05,.09,.01,.06,.23,.20,.24,.09,.08,.10,.05,.01,.16
1944,.36,.25,.26,.19,.19,.16,.18,.18,.28,.26,.11,.04,.20,.22,.28,.22,.17,.22
1945,.10,.00,.06,.19,.06,.01,.03,.26,.20,.18,.07,-.07,.09,.10,.05,.10,.10,.15
1946,.15,.03,.02,.06,-.07,-.21,-.12,-.20,-.08,-.07,-.05,-.31,-.07,-.05,.04,.00,-.18,-.07
1947,-.06,-.07,.07,.06,-.02,-.01,-.04,-.07,-.12,.07,.03,-.13,-.02,-.04,-.15,.04,-.04,-.01
1948,.07,-.14,-.24,-.12,.00,-.05,-.11,-.11,-.14,-.05,-.12,-.23,-.10,-.10,-.07,-.12,-.09,-.10
1949,.07,-.14,-.02,-.11,-.10,-.27,-.13,-.13,-.14,-.06,-.10,-.18,-.11,-.11,-.10,-.08,-.17,-.10
1950,-.26,-.27,-.07,-.21,-.11,-.05,-.08,-.16,-.11,-.20,-.34,-.21,-.17,-.17,-.23,-.13,-.10,-.22
